address,area,price
岭兜佳园小区-软件园,思明,2200
罗宾森-火车站,思明,1000
金辉园-湖滨南路,思明,5500
红杏花园-富山,思明,4200
假日花园-厦禾路,思明,5600
自然家园-火车站,思明,5000
新景禾祥高峰会-禾祥西路,思明,9500
自然家园-火车站,思明,4800
罗宾森璀璨新城1期-火车站,思明,5000
金领广场-湖滨东路,思明,5400
林海阳光-东浦路,思明,4400
源昌君悦山-富山,思明,6000
源昌君悦山-富山,思明,7000
禹洲世贸国际-火车站,思明,5500
厦门千禧园-厦禾路,思明,6700
国贸春天-湖滨中路,思明,9000
时尚国际-火车站,思明,4800
卧龙晓城-莲前西路,思明,3500
华林花园三期-Null,思明,4200
华林花园三期-Null,思明,4000
侨福城3期-莲前西路,思明,3500
青檬公寓-软件园,思明,1380
前埔南小区店上西里-前埔南区,思明,4500
岭兜小区-软件园,思明,4000
侨福城二期-莲前东路,思明,4800
前埔北区一里-前埔北区,思明,4300
岭兜小区-软件园,思明,3600
岭兜佳园小区-软件园,思明,3500
自然家园-火车站,思明,5500
罗宾森璀璨新城二期-火车站,思明,5000
湖滨四里-湖滨南路,思明,3600
百源双玺-厦禾路,思明,4000
信和上筑-嘉禾路,思明,4900
怡祥花园-松柏,思明,4800
毅宏公寓-莲前,思明,5300
卧龙晓城-莲前西路,思明,5500
卧龙晓城二期-莲前,思明,4500
山木清华-莲前,思明,3700
岭兜佳园-前埔北区,思明,3200
岭兜佳园-软件园,思明,2800
明发园-瑞景,思明,4000
何厝小区-会展路,思明,2800
联丰新城-瑞景,思明,6800
嘉盛豪园小区-莲前东路,思明,1300
珍珠湾花园二期-白城,思明,48000
嘉盛豪园-瑞景,思明,4700
东方瑞士-禾祥东路,思明,2000
古龙商城-禾祥西路,思明,2100
金峰山庄-文灶,思明,13500
新景花园-软件园,思明,4100
岭兜二里岭兜小区岭兜一里何厝小区岭兜佳园明发园明发城碧海晴空新景花园-软件园,思明,2800
岭兜佳园小区-前埔南区,思明,3600
岭兜小区-前埔北区,思明,3700
海艺大厦-软件园,思明,2200
故宫裕景-厦禾路,思明,2500
故宫裕景-厦禾路,思明,3800
裕发广场-富山,思明,2500
罗马假日-富山,思明,3300
官任小区-白鹭洲路,思明,1600
官任小区-白鹭洲路,思明,1500
建兴小区-白城,思明,2800
御景豪庭-建业路,思明,2400
武夷嘉园-白鹭洲路,思明,8000
源昌君悦山-莲前西路,思明,1650
禾祥西印刷厂宿舍-故宫路,思明,4380
联发滨海名居-会展路,思明,6000
联发滨海名居-会展路,思明,8900
海峡国际社区一期-会展路,思明,8000
海峡国际社区四期-会展路,思明,4500
海峡国际社区一期-会展路,思明,9000
中山海景广场-中山路,思明,3900
假日香港广场-思明北路,思明,1600
假日香港广场-厦禾路,思明,3500
明发商城-金鸡亭,思明,3200
金鸡亭-金鸡亭,思明,3000
金沙花园-莲前,思明,4300
鸿禧花园-莲花五村,思明,4600
岭兜小区-软件园,思明,3180
岭兜佳园-软件园,思明,3300
华林绿景花园-莲前东路,思明,4800
嘉盛豪园-瑞景,思明,5000
嘉盛豪园-瑞景,思明,4500
海峡国际社区二期-会展路,思明,4300
禹洲华侨海景城-鹭江道,思明,1700
华林紫薇花园-莲前东路,思明,3500
英皇湖畔华庭-松柏,思明,4500
英皇湖畔花苑-松柏,思明,5800
宝达大厦-嘉禾路,思明,3500
宝华花园-湖滨北路,思明,4200
莲坂西小区-富山,思明,3400
都市新巢-莲前,思明,2700
文园路警备区-文园路,思明,4300
北洪山柄-瑞景,思明,4000
禹洲云顶国际-莲前西路,思明,5700
