address,area,price
岭兜小区中区-前埔南区,思明,5000
禾丰新景-软件园,思明,4300
岭兜二里-前埔北区,思明,3400
明丰财富中心-前埔南区,思明,5300
宝达大厦-嘉禾路,思明,4000
信和上筑-嘉禾路,思明,5000
信和上筑-嘉禾路,思明,4500
联谊广场-富山,思明,3600
英皇湖畔花苑-松柏,思明,5000
红星瑞景小区-瑞景,思明,1650
海艺大厦-软件园,思明,2200
明丰财富中心-前埔南区,思明,1700
明发园-前埔北区,思明,2200
岭兜佳园-前埔北区,思明,5300
香山碧海晴空-软件园,思明,12000
嘉盛豪园-瑞景,思明,2200
洪山柄北区-莲前东路,思明,3300
嘉华大厦-长青路,思明,4600
宝龙中心-湖滨北路,思明,8200
信和上筑-嘉禾路,思明,4800
台亚大厦-莲花一村,思明,4600
宝龙中心-松柏,思明,7200
云亭花园-莲前西路,思明,3200
怡富花园-莲前西路,思明,1500
云亭花园-莲前,思明,1300
云亭花园-莲前西路,思明,3200
云顶花园-莲前,思明,3800
怡富花园-莲前西路,思明,1500
禾丰新景-软件园,思明,5600
禾丰新景-软件园,思明,4600
岭兜佳园-前埔南区,思明,2800
海艺大厦-软件园,思明,2500
信和上筑-嘉禾路,思明,5000
宝龙中心-松柏,思明,3800
屿后北里323-346号小区-松柏,思明,4400
侨旺大厦-嘉禾路,思明,4200
仙阁里花园-仙岳路,思明,1600
卧龙晓城-莲前西路,思明,4200
水务宿舍-莲前西路,思明,3300
金鸡亭花园小区-金鸡亭,思明,4300
龙山山庄-莲前西路,思明,4000
东浦路-东浦路,思明,3500
龙山居-莲前西路,思明,3500
金鸡亭花园小区-金鸡亭,思明,4300
龙山居-莲前西路,思明,3500
卧龙晓城-莲前西路,思明,4800
华林金磊花园-莲前西路,思明,1500
假日双星-文灶,思明,4300
金龙苑-莲前西路,思明,3500
浦南花园-莲前,思明,3500
卧龙晓城-莲前西路,思明,5500
阳光百合-富山,思明,4500
浦南花园-莲前,思明,5500
金鸡亭花园小区-金鸡亭,思明,3300
龙山居-莲前西路,思明,2800
卧龙晓城-莲前西路,思明,2700
山木清华-莲前,思明,3500
龙山居-莲前西路,思明,2000
金龙苑-莲前西路,思明,1200
山木清华-莲前,思明,3200
金磊花园-莲前西路,思明,4500
